codfabnumero;codnotafiscal;ean;descricao;preco_compra
50304277;50304277;7898473140018;SEVE OLEO HID DES AMEND DOCE 200ML;40,64
50460793;50460793;7909883127688;LUMINA SH NUTRICAO 300ML PS;18,67
50460833;50460833;7909883128081;LUMINA COND NUTRICAO 300ML PS;19,96
50460800;50460800;7909883127756;LUMINA COND MASC NUTRICAO 250ML PS;28,36
50511653;50511653;7909883227968;HUMOR DES COL ENVOLVE 75ML;100,075
50502185;50502185;7909883210809;ESSENCIAL DEO PARF ATRAI MAS 100ML;116,22
50487855;50487855;7908240804903;TODODIA DES HID AMORA VER JABUT RF 400ML;22,80333333
50398664;50398664;7908240804828;TODODIA HID DES AMORA VER JABUT 400ML;30,69
50483829;50483829;7909883167530;AGUAS DES COL BOAS ENERGIAS 170ML;48,39
50545008;50545008;7909883279424;NATURA SOLAR FLUID FACIAL MO FPS70 50ML;68,42
50558275;50558275;7909883308681;HUMOR DES HID PROPRIO CALDA CORP 120ML;28,69
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,23
50449513;50449513;7909883092801;HUMOR DES SPRAY PROPRIO BODY SPL 200ML;33,23
50448060;50448060;7908016651779;HUMOR DESCOL FEM PROP T18 75ML TERC;58,55
50548762;50548762;7909883283896;ILIA DES HID CORPO 80ML;15,36
50563705;50563705;7909883329471;CX MONTÁVEL ILIA CLASSICO FEM;6,49
50374044;50374044;7899563274989;ILIA CLASSICO DEO PARFUM FEM 50ML NV;79,02
50422428;50422428;7909883032906;ILIA CLASSICO DESODO SPRAY FEM 100ML NT3;27,94
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,11
50558412;50558412;7909883309299;LUNA OLEO DES FASCINATE FEM 150ML;33,86
50558290;50558290;7909883308834;LUNA HID FASCINANTE FEM MAOS 40G;15,66
50558169;50558169;7909883308032;LUNA DES COL FACINANTE FEM 75ML;64,89
50555729;50555729;7909883305130;TODODIA DES HID ROMA AMEN GLA CORP 400ML;32,01
50545006;50545006;7909883279400;TODODIA SAB BAR ROMA AMENDOA GLA 5X90G;14,3
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,49
50544938;50544938;7909883279325;TODODIA ROMA AMEN GLACE DES SPRAY 200ML;37,07
50440541;50440541;7908371613580;CHRONOS D PSOL FPS70 MANCH ME PS 50ML;37,47
50510549;50510549;7909883226329;CHRONOS D SERUM MULTICLAREADOR PS 30ML;122,11
50495341;50495341;7909883197476;SACOLA DE PRESENTE P;2,45
50578635;50578635;7909883362584;HOMEM DES PARF ABSOLUTO 100ML;95,69
50421569;50421569;7909883032562;EKOS SAB BAR MULTI ESFOLIA 4X100G;25,7775
50470895;50470895;7909883139353;TODODIA SAB BAR ROMA E FLOR AMORA 5X90G;18,165
50372397;50372397;7908132220187;TODODIA ALGODAO SAB BARRA 5X90G PM NV;18,165
50375500;50375500;7908132220231;TODODIA SAB BARRA ALECR SALVIA 5X90G NV;18,165
50535550;50535550;7909883271138;TODODIA SAB BAR NOIT DE VERAO 5X90G;18,165
50264900;50264900;7908132208413;MMBB AGUA DE COLONIA RELAXANTE 100ML BTV;32,24
50418394;50418394;7909883024116;COLONIA PULA PULA S SALTA NATURE 100ML;32,24
50503886;50503886;7909883213046;NATURE SAB BAR INFANTIL 4X90G;25,78
50578630;50578630;7909883362539;HOMEM AMS DES PARF ABSOLUTO 3X1ML TERC;2,1
61016732;61016732;7909883454951;REVISTA ESPACO NATURA C01 2026 BRASIL V1;4,27
61018313;61018313;7909189388790;REVISTA BELEZA C01 2026 BRASIL V1;4,27
61018362;61018362;7909189388806;REVISTA CASA ESTILO C01 2026 BRASIL V1;4,27
50558392;50558392;7909883309190;EKOS AMS DES HID CORP ACAI 3ML TERC;2,1
50545008;50545008;7909883279424;NATURA SOLAR FLUID FACIAL MO FPS70 50ML;68,42
50495226;50495226;7909883197421;SACOLA P PACK 3;9,5
50495228;50495228;7909883197445;SACOLA MINI PACK 3;3,8
50544938;50544938;7909883279325;TODODIA ROMA AMEN GLACE DES SPRAY 200ML;39,02
50545006;50545006;7909883279400;TODODIA SAB BAR ROMA AMENDOA GLA 5X90G;15,05
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,62
50555729;50555729;7909883305130;TODODIA DES HID ROMA AMEN GLA CORP 400ML;33,69
