codfabnumero;codnotafiscal;ean;descricao;preco_compra
50399289;50399289;7908016651762;HUMOR DES COL FEM MEU PRIME HUM T18 75ML;102,89
50401913;50401913;7899563240434;SEVE AMEN CEREJA OLEO DES CORP 200ML;41,78
50462189;50462189;7908371616208;TODODIA DES HID AMEIX BAU 400ML;26,1
50461853;50461853;7908371620441;TODODIA DES SPRAY AMEIX BAU 200ML;30,22
50551292;50551292;7908240876818;ESSENCIAL DES COL MIRRA 100ML;113,76
50359434;50359434;7908371662755;KAIAK CLAS MASC DES COL 100ML;123,49
50531787;50531787;7909883263249;HUMOR DES HID PROPRIO CORP GEL ILUM 200G;38,65
50342602;50342602;7908371630556;HUMOR LIBERTA DES COL 75ML;65,09
50495341;50495341;7909883197476;SACOLA DE PRESENTE P;2,48
50462492;50462492;7909883131036;LUMINA COND RECONSTRUCAO 300ML PS;26,94
50462480;50462480;7909883130916;LUMINA SH RECONSTRUCAO 300ML PS;17,83
50472290;50472290;7909883143022;LUMINA COND MASC RECONST 50ML PS;11,62
50461853;50461853;7908371620441;TODODIA DES SPRAY AMEIX BAU 200ML;39,79
50401920;50401920;7908371626894;TODODIA ROMA E AMORA DES HIDR CORP 200ML;20,075
50353210;50353210;7908371650943;UNA SERUM LABIAL ROSA TERC;19,82
50413534;50413534;7909883014063;FACES SAB GEL FACIAL ENERGY SHOT S CT;13,25
50404313;50404313;7909883001001;TODODIA DEO ROLL ON PREB HORTE 70ML;11,92
50391670;50391670;7908371603031;FACES BATOM MATTE LARANJA LIBERTA;9,89
50483030;50483030;7909883165338;LUNA DES SPRAY ABSOLUTA 100ML;21,35
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,3
50440612;50440612;7909883080419;KRISKA SHOCK DEO SPRAY 100ML GDG;21,35
50420019;50420019;7908371632550;KAIAK OCEANO FEM DES SPRAY 100ML;21,35
50531773;50531773;7909883263102;ESSENCIAL DES SPRAY ATO FEMININO 100ML;48,42
50472290;50472290;7909883143022;LUMINA COND MASC RECONST 50ML PS;21,19
50550414;50550414;7908371626702;UNA CORRET COB EXTR 21N 8ML;23,85
50412616;50412616;7909883013233;FACES BATOM MATTE PERFECT PINK;11,22333333
50412638;50412638;7909883013455;FACES BATOM MATTE QUEEN OF RED;11,225
61021320;61021320;7909883465766;REVISTA ESP NATURA C02 26 NE NO RJ ES V2;4,39
61024416;61024416;7909189389452;REVISTA CASA ESTILO C02 2026 BRASIL V1;4,39
61024415;61024415;7909189389445;REVISTA BELEZA C02 2026 BRASIL V1;4,39
50481940;50481940;7909883161415;TODODIA AMOSTRA COND REPARACAO 20ML TERC;1,9
50495228;50495228;7909883197445;SACOLA MINI PACK 3;3,91
50495226;50495226;7909883197421;SACOLA P PACK 3;9,77
